name,capital,continent,currency,population
"Liberia","Monrovia","Africa","Liberian dollar","5214030"
"Libya","Tripoli","Africa","Libyan dinar","6678567"
"Liechtenstein","Vaduz","Europe","Swiss franc","38020"
"Lithuania","Vilnius","Europe","euro","2794329"
"Luxembourg","Luxembourg","Europe","euro","645397"
"Madagascar","Antananarivo","Africa","ariary","25570895"
"Malawi","Lilongwe","Africa","Malawian kwacha","18622104"
"Malaysia","Kuala Lumpur","Asia","Malaysian ringgit","32447385"
"Maldives","Malé","Asia","Maldivian rufiyaa","436330"
"Mali","Bamako","Africa","West African CFA franc","20250833"
"Malta","Valletta","Europe","euro","465292"
"Marshall Islands","Majuro","Insular Oceania","United States dollar","53127"
"Marshall Islands","Majuro","Insular Oceania","SOV","53127"
"Mauritania","Nouakchott","Africa","Mauritanian ouguiya","4420184"
"Mauritius","Port Louis","Africa","Mauritian rupee","1264613"
"Mexico","Mexico City","North America","Mexican peso","129829800"
"Moldova","Chișinău","Europe","Moldovan leu","2550900"
"Monaco","Monaco City","Europe","euro","38350"
"Mongolia","Ulaanbaatar","Asia","tugrik","3075647"
"Montenegro","Podgorica","Europe","euro","622359"
"Morocco","Rabat","Africa","Moroccan dirham","36029138"
"Mozambique","Maputo","Africa","Mozambican metical","29668834"
"Myanmar","Naypyidaw","Asia","kyat","53370609"
"Namibia","Windhoek","Africa","Namibian dollar","2533794"
"Namibia","Windhoek","Africa","rand","2533794"
"Nauru","Yaren District","Insular Oceania","Australian dollar","13650"
"Nepal","Kathmandu","Asia","Nepalese rupee","30327877"
"New Zealand","Wellington","Insular Oceania","New Zealand dollar","5118700"
"Nicaragua","Managua","Central America","Nicaraguan córdoba","6217581"
"Niger","Niamey","Africa","West African CFA franc","21477348"
"Nigeria","Abuja","Africa","Nigerian naira","211400708"
"North Korea","Pyongyang","Asia","North Korean won","25490965"
"North Macedonia","Skopje","Europe","Macedonian denar","1836713"
"Norway","Oslo","Europe","Norwegian krone","5425270"
"Oman","Muscat","Asia","Omani rial","4829480"
"Pakistan","Islamabad","Asia","Pakistani rupee","223773700"
"Palau","Ngerulmud","Insular Oceania","United States dollar","21729"
"Panama","Panama City","North America","United States dollar","4098587"
"Panama","Panama City","South America","United States dollar","4098587"
"Panama","Panama City","North America","Panamanian balboa","4098587"
"Panama","Panama City","South America","Panamanian balboa","4098587"
"Papua New Guinea","Port Moresby","Insular Oceania","kina","8935000"
"Paraguay","Asunción","South America","Paraguayan guaraní","6811297"
"People's Republic of China","Beijing","Asia","renminbi","1442965000"
"Peru","Lima","South America","Nuevo Sol","32162184"
"Philippines","Manila","Asia","Philippine peso","109035343"
"Poland","Warsaw","Europe","zloty","38382576"
